Q1,Q2,Q3,Q4,Q5,Q6_encoded,Avg_EAR,Std_EAR,Avg_MAR,Std_MAR,Positive_Percent,Neutral_Percent,Negative_Percent,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Comp
Never,Rarely,Never,Always,Often,0.7986951286334389,0.2523,0.0214,0.1217,0.0186,62.76,20.35,16.89,0.17,0.83,0.0,0.4875
Sometimes,Rarely,Sometimes,Often,Rarely,2.0569377536544464,0.3616,0.0149,0.1222,0.0197,7.0,53.32,39.68,0.0,0.95,0.05,-0.1389
Often,Sometimes,Sometimes,Sometimes,Sometimes,2.36965827544817,0.2224,0.0171,0.0885,0.0132,29.32,42.91,27.77,0.0,0.87,0.13,-0.3666
Never,Never,Never,Often,Always,0.1858016508799909,0.3332,0.0221,0.1847,0.0109,16.98,64.47,18.55,0.35,0.65,0.0,1.0
Sometimes,Often,Often,Sometimes,Sometimes,2.4301794076057535,0.2846,0.0209,0.0763,0.0113,12.78,39.95,47.27,0.0,0.72,0.28,-0.7937
Never,Never,Never,Often,Often,0.6820964947491661,0.343,0.0114,0.0694,0.0132,10.81,89.19,0.0,0.3,0.7,0.0,0.8529
Never,Never,Rarely,Always,Always,0.26020637194111806,0.3583,0.0102,0.0725,0.0141,53.19,41.4,5.42,0.21,0.79,0.0,0.6048
Always,Often,Often,Rarely,Never,3.795542149013333,0.3276,0.0222,0.1979,0.0192,0.0,43.02,56.98,0.0,0.65,0.35,-1.0
Always,Always,Often,Never,Never,3.8625281322982374,0.2783,0.0204,0.1719,0.0105,4.06,20.38,75.56,0.0,0.87,0.13,-0.3815
Often,Sometimes,Often,Never,Never,3.2335893924658445,0.2976,0.0121,0.1255,0.0178,0.0,53.92,46.08,0.0,0.92,0.08,-0.2379
Sometimes,Sometimes,Rarely,Sometimes,Often,1.2184550766934827,0.3587,0.0228,0.0983,0.0108,57.19,34.94,7.87,0.12,0.88,0.0,0.3451
Never,Never,Never,Always,Always,0.3906884560255355,0.3429,0.0274,0.0299,0.0183,64.68,26.3,9.02,0.13,0.87,0.0,0.3734
Sometimes,Often,Sometimes,Rarely,Rarely,2.7369321060486276,0.2422,0.0123,0.1356,0.0174,20.82,37.76,41.42,0.01,0.99,0.0,0.0148
Sometimes,Rarely,Rarely,Sometimes,Often,1.7606099749584052,0.3445,0.023,0.1403,0.0198,37.4,52.9,9.7,0.08,0.92,0.0,0.2412
Never,Rarely,Never,Often,Always,0.4881529393791153,0.3514,0.0286,0.0903,0.0164,34.26,65.74,0.0,0.0,0.88,0.12,-0.3567
Sometimes,Rarely,Sometimes,Rarely,Often,1.9807076404450807,0.2617,0.0125,0.1688,0.0166,33.44,54.41,12.15,0.0,0.84,0.16,-0.4449
Never,Never,Never,Often,Always,0.13755408446087358,0.2965,0.0275,0.0917,0.0124,48.37,33.49,18.15,0.24,0.76,0.0,0.6825
Often,Always,Always,Rarely,Never,3.6372816083151283,0.2623,0.0137,0.1065,0.0119,5.03,42.78,52.2,0.0,0.97,0.03,-0.0972
Sometimes,Rarely,Sometimes,Often,Sometimes,1.0351199264000677,0.2589,0.0248,0.0635,0.0168,38.92,31.5,29.58,0.35,0.65,0.0,1.0
Sometimes,Sometimes,Often,Sometimes,Rarely,2.650089137415928,0.3156,0.0241,0.1412,0.0183,31.47,17.27,51.26,0.0,0.98,0.02,-0.0586
Rarely,Sometimes,Never,Often,Sometimes,1.2468443043576438,0.3221,0.0283,0.0898,0.0121,35.28,49.61,15.11,0.0,0.89,0.11,-0.3178
Sometimes,Sometimes,Often,Sometimes,Sometimes,2.0802720847112433,0.2661,0.0251,0.105,0.0131,12.78,49.23,38.0,0.22,0.78,0.0,0.6368
Rarely,Sometimes,Sometimes,Rarely,Rarely,2.1868411173731186,0.3201,0.0134,0.1189,0.0197,23.44,39.55,37.0,0.01,0.99,0.0,0.0268
Rarely,Rarely,Never,Always,Often,0.7394178221021082,0.277,0.0126,0.1093,0.0164,19.83,76.77,3.4,0.24,0.76,0.0,0.6734
Always,Always,Always,Rarely,Rarely,3.8783385110582342,0.3367,0.0278,0.0905,0.0157,11.91,40.35,47.74,0.0,0.65,0.35,-1.0
Often,Often,Always,Rarely,Rarely,3.100531293444458,0.2846,0.0188,0.1256,0.0131,19.72,56.08,24.19,0.11,0.89,0.0,0.3104
Always,Always,Always,Never,Never,3.7579957662567565,0.2826,0.0106,0.1869,0.0138,14.17,26.63,59.19,0.0,0.65,0.35,-1.0
Often,Always,Often,Rarely,Never,3.5793094017105953,0.3619,0.03,0.1055,0.0121,7.28,36.9,55.83,0.0,0.69,0.31,-0.8995
Often,Sometimes,Often,Sometimes,Rarely,2.3915999152443406,0.2901,0.0168,0.1562,0.0198,7.9,72.69,19.4,0.0,0.91,0.09,-0.255
Often,Always,Often,Rarely,Never,3.6874969400924673,0.253,0.0242,0.1374,0.0173,14.1,42.44,43.46,0.0,0.92,0.08,-0.2399
Never,Never,Never,Always,Always,0.353970008207678,0.2305,0.0259,0.1124,0.016,38.67,60.79,0.54,0.35,0.65,0.0,1.0
Rarely,Rarely,Sometimes,Always,Often,0.7839314496765808,0.304,0.0164,0.1038,0.0151,39.01,41.58,19.41,0.06,0.94,0.0,0.1813
Rarely,Never,Never,Always,Always,0.18090915564215226,0.2051,0.0246,0.1108,0.0123,36.71,63.29,0.0,0.35,0.65,0.0,1.0
Rarely,Sometimes,Rarely,Sometimes,Often,1.3013213230530574,0.3273,0.019,0.0657,0.0149,19.44,58.89,21.68,0.22,0.78,0.0,0.632
Sometimes,Rarely,Never,Rarely,Often,1.554709158757928,0.3135,0.0198,0.1138,0.0119,43.9,27.74,28.36,0.29,0.71,0.0,0.8358
Never,Rarely,Rarely,Often,Often,1.0853961270955836,0.3368,0.012,0.1428,0.0162,59.32,31.53,9.15,0.0,1.0,0.0,0.0123
Always,Often,Often,Never,Rarely,3.3149500366077174,0.2888,0.0297,0.1124,0.0167,30.17,40.38,29.45,0.0,0.81,0.19,-0.5446
Sometimes,Rarely,Sometimes,Sometimes,Often,1.4270133067743571,0.2708,0.0116,0.1449,0.0133,41.21,28.89,29.9,0.12,0.88,0.0,0.344
Sometimes,Rarely,Rarely,Often,Sometimes,1.123738038749523,0.2736,0.0168,0.0679,0.0101,22.0,65.11,12.89,0.16,0.84,0.0,0.4696
Often,Sometimes,Sometimes,Sometimes,Sometimes,2.170784332632994,0.3546,0.0254,0.1307,0.0181,11.72,75.04,13.23,0.0,0.77,0.23,-0.6507
Rarely,Never,Rarely,Often,Always,0.5636968998990506,0.3142,0.0158,0.0929,0.0195,42.66,44.56,12.78,0.26,0.74,0.0,0.7532
Always,Always,Always,Rarely,Rarely,3.2087879230161587,0.3167,0.0114,0.135,0.0168,3.66,57.36,38.98,0.0,0.65,0.35,-1.0
Rarely,Never,Never,Always,Often,0.2982025747190833,0.3367,0.0225,0.1224,0.0125,50.43,49.57,0.0,0.26,0.74,0.0,0.7369
Always,Always,Always,Never,Rarely,3.947547746402069,0.279,0.0184,0.1445,0.0185,0.0,62.81,37.19,0.0,0.72,0.28,-0.7886
Often,Often,Often,Rarely,Never,3.0889790771866297,0.3481,0.0243,0.1099,0.0187,19.22,59.95,20.83,0.0,0.93,0.07,-0.1953
Never,Rarely,Never,Often,Always,0.7948627261366896,0.3459,0.0207,0.1165,0.0139,18.4,62.62,18.97,0.18,0.82,0.0,0.5199
Never,Rarely,Never,Sometimes,Always,0.022088468494409597,0.3315,0.0148,0.051,0.0179,26.08,35.07,38.85,0.25,0.75,0.0,0.7184
Sometimes,Often,Often,Rarely,Rarely,3.2618457138193366,0.3061,0.021,0.1292,0.0136,0.0,52.42,47.58,0.0,0.65,0.35,-1.0
Often,Often,Sometimes,Rarely,Rarely,2.8274293753904685,0.235,0.0168,0.1053,0.0156,20.86,23.82,55.33,0.0,0.82,0.18,-0.5194
Often,Sometimes,Often,Rarely,Sometimes,2.9160286721639492,0.2632,0.0199,0.1538,0.0108,6.93,58.84,34.23,0.0,0.84,0.16,-0.4629
Often,Often,Often,Rarely,Rarely,3.085081386743783,0.2548,0.0202,0.1635,0.013,0.0,53.21,46.79,0.0,0.93,0.07,-0.2133
Never,Never,Rarely,Often,Often,0.29617860693636144,0.3208,0.0193,0.1362,0.0136,35.06,44.91,20.03,0.33,0.67,0.0,0.9365
Rarely,Sometimes,Never,Always,Often,1.4338629141770904,0.3152,0.0127,0.1621,0.0184,58.47,11.41,30.11,0.22,0.78,0.0,0.6201
Never,Never,Never,Often,Often,0.46347623810051886,0.2491,0.0111,0.1202,0.0184,34.86,57.29,7.85,0.16,0.84,0.0,0.4442
Always,Always,Often,Rarely,Never,3.452413703502374,0.2535,0.0127,0.089,0.0115,11.53,54.86,33.62,0.0,0.92,0.08,-0.2301
Often,Often,Sometimes,Sometimes,Sometimes,2.4931925073102317,0.2823,0.0118,0.1017,0.0195,37.6,28.05,34.35,0.02,0.98,0.0,0.0448
Rarely,Rarely,Rarely,Often,Sometimes,1.3235920994105967,0.3097,0.0131,0.0608,0.0137,11.08,62.98,25.94,0.19,0.81,0.0,0.529
Never,Never,Rarely,Always,Often,0.25423340114409454,0.272,0.0216,0.1213,0.0191,25.93,74.07,0.0,0.35,0.65,0.0,1.0
Rarely,Rarely,Sometimes,Often,Often,1.2439292868626488,0.3624,0.0133,0.1776,0.018,31.83,44.39,23.77,0.31,0.69,0.0,0.887
Rarely,Rarely,Rarely,Often,Often,1.3007332881069882,0.2226,0.0124,0.1735,0.0185,42.71,47.47,9.82,0.18,0.82,0.0,0.5145
Often,Always,Often,Never,Rarely,2.9184247133522563,0.2899,0.0151,0.1348,0.0136,0.62,38.42,60.95,0.01,0.99,0.0,0.0257
Sometimes,Often,Often,Sometimes,Sometimes,2.5502298854208525,0.3397,0.0293,0.1406,0.0145,0.0,70.86,29.14,0.07,0.93,0.0,0.1902
Often,Often,Often,Rarely,Never,3.548850970305306,0.284,0.0197,0.1037,0.0178,20.18,39.58,40.24,0.0,0.97,0.03,-0.0772
Rarely,Rarely,Rarely,Rarely,Often,1.8888597006477972,0.3105,0.0156,0.1378,0.0193,0.0,93.16,6.84,0.14,0.86,0.0,0.4021
Rarely,Rarely,Never,Always,Always,0.4783769837532068,0.4121,0.0193,0.0401,0.0105,44.78,50.85,4.37,0.31,0.69,0.0,0.8734
Often,Always,Often,Rarely,Rarely,2.85297914889198,0.2805,0.023,0.0685,0.0182,6.85,47.23,45.92,0.0,0.69,0.31,-0.8722
Often,Often,Always,Rarely,Rarely,3.0431401944675898,0.2877,0.0289,0.1355,0.0167,2.4,89.02,8.57,0.13,0.87,0.0,0.3735
Sometimes,Sometimes,Sometimes,Rarely,Often,2.245108790277985,0.2538,0.0233,0.0907,0.0134,11.39,42.52,46.1,0.0,0.97,0.03,-0.0984
Often,Often,Often,Sometimes,Sometimes,3.083868719818244,0.2694,0.0118,0.19,0.0141,14.53,39.94,45.54,0.0,0.65,0.35,-1.0
Sometimes,Often,Rarely,Sometimes,Often,1.975182385457563,0.2977,0.0112,0.1503,0.0189,25.16,45.36,29.47,0.0,0.97,0.03,-0.098
Rarely,Rarely,Sometimes,Sometimes,Sometimes,2.0909313175279762,0.2874,0.0177,0.115,0.0192,33.75,44.81,21.44,0.0,0.8,0.2,-0.5751
Sometimes,Often,Sometimes,Sometimes,Sometimes,1.7101640734341985,0.2984,0.0276,0.1442,0.0152,1.12,74.69,24.19,0.06,0.94,0.0,0.1635
Never,Rarely,Never,Always,Always,0.10167650697638075,0.2765,0.0113,0.1442,0.0155,71.53,27.44,1.03,0.35,0.65,0.0,1.0
Never,Never,Never,Always,Always,0.4315657079732178,0.3029,0.0287,0.1444,0.0177,19.98,80.02,0.0,0.24,0.76,0.0,0.6938
Rarely,Never,Never,Always,Always,0.125716742746937,0.3271,0.0218,0.0749,0.0148,39.39,60.61,0.0,0.29,0.71,0.0,0.829
Often,Sometimes,Sometimes,Sometimes,Sometimes,2.5456416450551216,0.2773,0.0293,0.0737,0.0113,25.98,61.53,12.49,0.0,0.86,0.14,-0.4064
Rarely,Rarely,Sometimes,Sometimes,Often,1.2574239243053067,0.31,0.011,0.1247,0.0178,28.8,49.38,21.82,0.23,0.77,0.0,0.6531
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2.034282764658811,0.3339,0.0113,0.101,0.02,10.43,72.18,17.39,0.07,0.93,0.0,0.2
Always,Often,Always,Never,Never,3.630265895704372,0.2843,0.0138,0.1634,0.018,8.26,14.5,77.24,0.0,0.65,0.35,-1.0
Rarely,Rarely,Rarely,Always,Often,0.9971689165954998,0.2673,0.0252,0.127,0.0171,0.98,87.84,11.18,0.15,0.85,0.0,0.4326
Rarely,Sometimes,Rarely,Sometimes,Often,1.641531692142519,0.2567,0.0177,0.1078,0.0142,9.65,62.13,28.21,0.31,0.69,0.0,0.8729
Often,Often,Often,Rarely,Rarely,3.0222045541721947,0.312,0.0234,0.1691,0.0141,0.0,67.39,32.61,0.0,0.88,0.12,-0.3489
Rarely,Rarely,Rarely,Often,Sometimes,0.9151926619664899,0.296,0.0124,0.1529,0.0125,26.13,73.87,0.0,0.29,0.71,0.0,0.8313
Never,Rarely,Sometimes,Always,Always,0.30791963931517197,0.2975,0.0287,0.0764,0.0131,37.79,56.86,5.35,0.1,0.9,0.0,0.2877
Rarely,Rarely,Rarely,Often,Often,1.159005811655072,0.2633,0.0197,0.1812,0.0154,28.6,60.06,11.34,0.0,1.0,0.0,-0.0141
Never,Rarely,Rarely,Always,Always,0.6448851490160177,0.3354,0.0228,0.0779,0.0134,29.95,57.68,12.37,0.35,0.65,0.0,1.0
Always,Always,Always,Never,Rarely,3.7187906093702923,0.3183,0.028,0.1719,0.019,2.63,59.29,38.09,0.0,0.65,0.35,-1.0
Always,Often,Often,Never,Rarely,3.232481518257668,0.2364,0.0214,0.1056,0.0144,0.0,65.37,34.63,0.0,0.71,0.29,-0.8193
Often,Sometimes,Often,Sometimes,Sometimes,2.533615026041694,0.2683,0.0211,0.1672,0.0153,6.99,80.04,12.97,0.02,0.98,0.0,0.0629
Often,Always,Often,Rarely,Never,3.485842360750871,0.2433,0.0235,0.109,0.018,6.25,59.16,34.6,0.0,0.87,0.13,-0.3679
Always,Often,Often,Sometimes,Never,3.214688307596458,0.3323,0.0192,0.1892,0.0182,14.25,66.52,19.24,0.0,0.69,0.31,-0.8835
Rarely,Rarely,Rarely,Often,Often,0.7462802355441434,0.3019,0.0118,0.1456,0.0144,40.29,53.99,5.73,0.34,0.66,0.0,0.9657
Often,Often,Often,Rarely,Never,3.570235993959911,0.3008,0.0287,0.1138,0.0134,0.65,75.86,23.49,0.0,0.74,0.26,-0.7556
Sometimes,Rarely,Often,Sometimes,Sometimes,2.157368967662603,0.3035,0.0161,0.1081,0.0109,21.48,44.9,33.63,0.0,0.73,0.27,-0.7656
Often,Always,Often,Never,Never,3.22976062065625,0.2637,0.0186,0.1221,0.0129,18.49,55.89,25.62,0.0,0.88,0.12,-0.3515
Often,Always,Often,Never,Never,3.584365199693973,0.2945,0.0265,0.1584,0.013,9.41,43.44,47.15,0.0,0.93,0.07,-0.2085
Never,Rarely,Never,Often,Often,1.2720138998874555,0.315,0.0187,0.1217,0.018,14.29,72.47,13.24,0.0,0.9,0.1,-0.2896
Never,Rarely,Never,Often,Often,0.44020769811070704,0.314,0.0295,0.1284,0.0197,45.95,12.54,41.51,0.0,0.92,0.08,-0.2369
Rarely,Rarely,Rarely,Often,Often,0.9117406501677667,0.3805,0.0132,0.1463,0.0197,31.21,38.48,30.31,0.0,0.95,0.05,-0.1425
Rarely,Rarely,Rarely,Sometimes,Sometimes,1.7084311545050253,0.3132,0.0114,0.0734,0.0191,34.16,41.13,24.71,0.15,0.85,0.0,0.4171
Sometimes,Often,Often,Rarely,Rarely,3.2720590636899725,0.2991,0.0271,0.1047,0.0143,7.37,73.17,19.46,0.0,0.97,0.03,-0.0805
Often,Often,Often,Rarely,Never,3.4429223330253738,0.32,0.013,0.1224,0.0151,0.0,64.95,35.05,0.0,0.65,0.35,-1.0
Rarely,Never,Never,Always,Always,0.027808522124762813,0.319,0.0108,0.0832,0.0164,14.89,85.11,0.0,0.21,0.79,0.0,0.5913
Sometimes,Sometimes,Sometimes,Often,Sometimes,2.042989210310263,0.3023,0.0176,0.1043,0.0191,10.7,75.67,13.63,0.0,0.92,0.08,-0.2347
Rarely,Often,Sometimes,Sometimes,Sometimes,1.669644012595116,0.3119,0.0164,0.1822,0.0109,7.79,57.67,34.54,0.25,0.75,0.0,0.7002
Never,Rarely,Rarely,Often,Always,0.888431241882921,0.2834,0.0235,0.0478,0.0105,30.82,53.97,15.21,0.2,0.8,0.0,0.5722
Rarely,Rarely,Never,Often,Often,0.4794614693347312,0.3819,0.0208,0.1072,0.0168,34.93,65.07,0.0,0.35,0.65,0.0,1.0
Rarely,Rarely,Never,Often,Often,1.3504606856145118,0.327,0.0232,0.0952,0.0147,21.11,67.76,11.13,0.24,0.76,0.0,0.6847
Always,Often,Always,Never,Never,3.7716388156500766,0.3557,0.0287,0.1629,0.0183,9.75,40.79,49.46,0.0,0.65,0.35,-1.0
Rarely,Sometimes,Rarely,Rarely,Often,1.292811728083021,0.3046,0.0169,0.1244,0.0162,37.27,37.64,25.09,0.14,0.86,0.0,0.4041
Sometimes,Sometimes,Rarely,Rarely,Sometimes,2.0751624869734644,0.278,0.0201,0.1519,0.0187,10.64,75.4,13.95,0.0,0.9,0.1,-0.2766
Often,Often,Always,Rarely,Sometimes,2.8120758355807114,0.3073,0.0233,0.1255,0.0128,46.89,32.74,20.37,0.0,0.83,0.17,-0.4866
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1.454518409517176,0.2422,0.0229,0.1922,0.0115,32.02,56.69,11.29,0.27,0.73,0.0,0.7631
Always,Always,Always,Never,Never,3.8871283308838427,0.3328,0.0261,0.1381,0.0125,11.98,54.07,33.95,0.0,0.72,0.28,-0.8125
Always,Always,Always,Rarely,Never,3.849789179768445,0.2512,0.0173,0.1388,0.0143,0.0,56.69,43.31,0.0,0.67,0.33,-0.936
Rarely,Rarely,Never,Often,Always,1.0071291833014566,0.3534,0.0187,0.1751,0.0148,35.4,35.66,28.93,0.05,0.95,0.0,0.1324
Often,Often,Sometimes,Sometimes,Sometimes,1.9889940235695418,0.3204,0.0102,0.1643,0.012,0.0,69.41,30.59,0.0,0.96,0.04,-0.106
Rarely,Rarely,Rarely,Often,Often,1.2035132392670786,0.3498,0.0203,0.1337,0.0191,31.05,68.95,0.0,0.07,0.93,0.0,0.1871
Sometimes,Sometimes,Sometimes,Often,Often,1.1393619775098704,0.2093,0.0157,0.1127,0.0146,24.04,56.25,19.71,0.11,0.89,0.0,0.3042
Never,Never,Rarely,Always,Always,0.14754778941813118,0.357,0.0287,0.0827,0.0172,43.66,56.34,0.0,0.35,0.65,0.0,1.0
Sometimes,Often,Always,Rarely,Rarely,2.4382573359195874,0.311,0.0163,0.1558,0.0158,7.78,92.22,0.0,0.13,0.87,0.0,0.3574
Sometimes,Often,Often,Often,Sometimes,2.010716092915446,0.3082,0.0197,0.1205,0.0189,35.69,51.44,12.87,0.0,0.89,0.11,-0.3269
Rarely,Never,Never,Often,Always,0.2059150049999574,0.2593,0.0146,0.0945,0.0192,17.83,69.88,12.29,0.35,0.65,0.0,1.0
Never,Sometimes,Sometimes,Often,Often,1.1145858569464457,0.4246,0.0126,0.0722,0.0177,29.14,54.42,16.45,0.32,0.68,0.0,0.9144
Often,Often,Often,Never,Never,3.633063543866615,0.233,0.0153,0.1812,0.0151,0.0,72.34,27.66,0.0,0.73,0.27,-0.7614
Rarely,Never,Sometimes,Often,Often,0.9582475626678897,0.283,0.0109,0.1135,0.0154,39.0,49.38,11.62,0.12,0.88,0.0,0.3559
Never,Never,Rarely,Always,Often,0.5795794883648924,0.3916,0.0133,0.1174,0.0181,19.7,61.06,19.24,0.27,0.73,0.0,0.7629
Sometimes,Sometimes,Sometimes,Rarely,Sometimes,1.957811041110252,0.3742,0.0197,0.0978,0.0135,11.97,69.83,18.2,0.0,0.84,0.16,-0.468
Always,Always,Always,Never,Rarely,3.942601816442403,0.2828,0.0214,0.1195,0.0105,0.0,42.61,57.39,0.0,0.91,0.09,-0.2608
Rarely,Never,Rarely,Sometimes,Sometimes,0.9682210860460017,0.3274,0.0132,0.1038,0.0198,33.15,55.0,11.85,0.02,0.98,0.0,0.0479
Often,Sometimes,Often,Rarely,Rarely,2.688542189623514,0.2581,0.0258,0.1501,0.0103,8.47,65.18,26.35,0.02,0.98,0.0,0.0487
Often,Often,Often,Never,Rarely,3.0464784613148703,0.2844,0.0196,0.1548,0.017,8.42,50.63,40.95,0.0,0.65,0.35,-1.0
Rarely,Never,Rarely,Sometimes,Often,0.9505501759695987,0.2986,0.011,0.1182,0.0127,40.27,59.73,0.0,0.06,0.94,0.0,0.1722
Often,Always,Often,Rarely,Rarely,2.9128653944474383,0.3758,0.0241,0.0707,0.0194,12.2,74.15,13.65,0.0,0.65,0.35,-1.0
Rarely,Rarely,Often,Sometimes,Often,1.471132530877013,0.283,0.0208,0.1314,0.0185,21.95,65.4,12.64,0.33,0.67,0.0,0.9523
Rarely,Sometimes,Always,Rarely,Sometimes,2.529223322374318,0.3587,0.0218,0.1366,0.0109,2.92,97.08,0.0,0.02,0.98,0.0,0.0487
Sometimes,Sometimes,Often,Sometimes,Rarely,2.534118843043579,0.3489,0.0262,0.1081,0.0154,0.0,69.85,30.15,0.0,0.93,0.07,-0.2133
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2.143098736299034,0.2871,0.0234,0.0594,0.0197,38.79,51.61,9.6,0.0,0.9,0.1,-0.2973
Rarely,Never,Never,Sometimes,Always,0.3611590802176332,0.2955,0.0117,0.2152,0.0171,22.47,77.53,0.0,0.16,0.84,0.0,0.4704
Always,Often,Often,Never,Never,3.341209982356952,0.2742,0.0157,0.1245,0.0146,0.0,40.83,59.17,0.0,0.97,0.03,-0.0788
Rarely,Rarely,Rarely,Sometimes,Sometimes,1.2831202598869433,0.2949,0.0168,0.0974,0.0171,30.09,48.83,21.08,0.0,0.98,0.02,-0.0596
Never,Rarely,Never,Often,Sometimes,0.7460740415994169,0.3701,0.0145,0.1391,0.0126,11.53,88.47,0.0,0.35,0.65,0.0,1.0
Never,Never,Never,Always,Often,0.16310056621905566,0.258,0.0264,0.127,0.0104,52.46,47.54,0.0,0.35,0.65,0.0,1.0
Sometimes,Often,Sometimes,Never,Sometimes,2.3635717727529673,0.3447,0.0181,0.0964,0.0168,10.93,61.99,27.08,0.0,0.65,0.35,-1.0
Often,Often,Often,Sometimes,Rarely,2.7102574473691297,0.2639,0.0209,0.1583,0.0183,0.0,57.08,42.92,0.0,0.74,0.26,-0.7415
Never,Never,Never,Often,Always,0.06635131571142461,0.3262,0.0257,0.1518,0.0106,44.98,55.02,0.0,0.18,0.82,0.0,0.5034
Sometimes,Rarely,Often,Sometimes,Often,2.048372233197124,0.2414,0.0117,0.1689,0.0112,50.76,42.13,7.11,0.1,0.9,0.0,0.288
Rarely,Never,Rarely,Always,Often,0.9059831007917518,0.3598,0.0133,0.0585,0.0105,10.01,76.75,13.24,0.17,0.83,0.0,0.4751
Sometimes,Often,Often,Sometimes,Rarely,2.5806911616377994,0.3247,0.0138,0.1138,0.0151,42.95,36.17,20.88,0.21,0.79,0.0,0.5953
